source_group,repo_id,private,domain_type,total_size_mb,data_size_mb,video_size_mb,total_episodes,total_frames,total_tasks,total_hours,avg_seconds_per_episode,fps,observation_fps,action_fps,robot_type,embodiment_type,embodiment_confidence,embodiment_reason,action_dim,action_shape,state_dim,state_shape,visual_stream_count,visual_stream_keys,visual_dimensions,visual_dtypes,text_annotation_extent,task_text_present,task_text_count,task_text_examples,temporal_dense_present,temporal_sparse_present,language_feature_keys,readme_url,dataset_url,generation_error
nmotion_current,DaivdYuan/hub-flip-bagel-in-the-wild-lerobot,False,real,300.0,100.0,200.0,274,91818,1,0.85,11.17,30.0,30.0,30.0,generic_robot,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.camera0_rgb,observation.images.camera0_rgb:224x224x3,video,single_task_instruction,True,1,Flip bagel in the wild,False,False,,https://huggingface.co/datasets/DaivdYuan/hub-flip-bagel-in-the-wild-lerobot/blob/main/README.md,https://huggingface.co/datasets/DaivdYuan/hub-flip-bagel-in-the-wild-lerobot,
nmotion_current,DaivdYuan/hub-flip-bagel-lerobot,False,unknown,300.0,100.0,200.0,283,98335,1,0.911,11.58,30.0,30.0,30.0,generic_robot,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.camera0_rgb,observation.images.camera0_rgb:224x224x3,video,single_task_instruction,True,1,Flip bagel,False,False,,https://huggingface.co/datasets/DaivdYuan/hub-flip-bagel-lerobot/blob/main/README.md,https://huggingface.co/datasets/DaivdYuan/hub-flip-bagel-lerobot,
nmotion_current,DaivdYuan/hub-kettlebell-pushing-lerobot,False,unknown,300.0,100.0,200.0,14,10004,1,0.093,23.82,30.0,30.0,30.0,generic_robot,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.camera0_rgb,observation.images.camera0_rgb:224x224x3,video,single_task_instruction,True,1,Kettlebell Pushing,False,False,,https://huggingface.co/datasets/DaivdYuan/hub-kettlebell-pushing-lerobot/blob/main/README.md,https://huggingface.co/datasets/DaivdYuan/hub-kettlebell-pushing-lerobot,
nmotion_current,DaivdYuan/hub-pour-dice-lerobot,False,unknown,300.0,100.0,200.0,145,111516,1,1.033,25.64,30.0,30.0,30.0,generic_robot,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.camera0_rgb,observation.images.camera0_rgb:224x224x3,video,single_task_instruction,True,1,Pour dice,False,False,,https://huggingface.co/datasets/DaivdYuan/hub-pour-dice-lerobot/blob/main/README.md,https://huggingface.co/datasets/DaivdYuan/hub-pour-dice-lerobot,
nmotion_current,DaivdYuan/hub-strap-wires-with-velcro-tape-lerobot,False,unknown,300.0,100.0,200.0,193,151610,1,1.404,26.18,30.0,30.0,30.0,generic_robot,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.camera0_rgb,observation.images.camera0_rgb:224x224x3,video,single_task_instruction,True,1,Strap wires with velcro tape,False,False,,https://huggingface.co/datasets/DaivdYuan/hub-strap-wires-with-velcro-tape-lerobot/blob/main/README.md,https://huggingface.co/datasets/DaivdYuan/hub-strap-wires-with-velcro-tape-lerobot,
nmotion_current,DaivdYuan/hub-tennis-ball-basket-toss-lerobot,False,unknown,300.0,100.0,200.0,165,194179,1,1.798,39.23,30.0,30.0,30.0,generic_robot,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.camera0_rgb,observation.images.camera0_rgb:224x224x3,video,single_task_instruction,True,1,Tennis Ball Basket Toss,False,False,,https://huggingface.co/datasets/DaivdYuan/hub-tennis-ball-basket-toss-lerobot/blob/main/README.md,https://huggingface.co/datasets/DaivdYuan/hub-tennis-ball-basket-toss-lerobot,
nmotion_current,DaivdYuan/hub-whiteboard-shape-wipe-lerobot,False,unknown,300.0,100.0,200.0,119,107187,1,0.992,30.02,30.0,30.0,30.0,generic_robot,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.camera0_rgb,observation.images.camera0_rgb:224x224x3,video,single_task_instruction,True,1,Whiteboard Shape Wipe,False,False,,https://huggingface.co/datasets/DaivdYuan/hub-whiteboard-shape-wipe-lerobot/blob/main/README.md,https://huggingface.co/datasets/DaivdYuan/hub-whiteboard-shape-wipe-lerobot,
official_lerobot,lerobot/aloha_mobile_cabinet,False,unknown,600.0,100.0,500.0,85,127500,1,0.708,30.0,50.0,50.0,50.0,aloha,mobile_manipulator,high,repo/readme indicates mobile manipulator,14,14,14,14,3,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video,single_task_instruction,True,1,"Open the top cabinet, store the pot inside it then close the cabinet.",False,False,,https://huggingface.co/datasets/lerobot/aloha_mobile_cabinet/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_mobile_cabinet,
official_lerobot,lerobot/aloha_mobile_chair,False,unknown,600.0,100.0,500.0,55,110000,1,0.611,40.0,50.0,50.0,50.0,aloha,mobile_manipulator,high,repo/readme indicates mobile manipulator,14,14,14,14,3,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video,single_task_instruction,True,1,Push the chairs in front of the desk to place them against it.,False,False,,https://huggingface.co/datasets/lerobot/aloha_mobile_chair/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_mobile_chair,
official_lerobot,lerobot/aloha_mobile_elevator,False,unknown,600.0,100.0,500.0,20,45000,1,0.25,45.0,50.0,50.0,50.0,aloha,mobile_manipulator,high,repo/readme indicates mobile manipulator,14,14,14,14,3,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video,single_task_instruction,True,1,Take the elevator to the 1st floor.,False,False,,https://huggingface.co/datasets/lerobot/aloha_mobile_elevator/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_mobile_elevator,
